Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Best_Selling_Region,Best_Selling_Region_Sales_Ratio,Platform_Sales_Contribution
Beijing 2008,PS3,2008.0,Sports,Sega,0.14,0.54,0.01,0.18,0.86,,,,,,,Europe,0.627906976744186,0.0009235891102400258
Guitar Hero Live,PS4,2015.0,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,69.0,6.2,160.0,FreeStyleGames,T,Europe,0.4418604651162791,0.002736848805015434
Endless Ocean: Blue World,Wii,2009.0,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76.0,42.0,8.5,26.0,Arika,E10+,North-America,0.5348837209302326,0.0009644066656200237
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006.0,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81.0,10.0,8.3,14.0,KCET,E,Europe,0.8372093023255813,0.0029676662410711204
Rocky,PS2,2002.0,Fighting,Rage Software,0.42,0.33,0.0,0.11,0.86,74.0,14.0,8.4,11.0,Rage Software,T,North-America,0.4883720930232558,0.0006972256903345061
Ford Racing,PS,2001.0,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,53.0,4.0,5.8,4.0,Toolbox Design,E,North-America,0.5581395348837209,0.00118227684524546
Madden Football 64,N64,1997.0,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86,,,,,,,North-America,0.9418604651162792,0.003941157600476605
Guitar Hero: Warriors of Rock,X360,2010.0,Misc,Activision,0.47,0.31,0.0,0.08,0.86,72.0,65.0,6.5,51.0,Neversoft Entertainment,T,North-America,0.5465116279069767,0.0008945381166852162
MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86,,,,,,,North-America,0.5581395348837209,0.00118227684524546
Lemmings,PSP,2006.0,Puzzle,Sony Computer Entertainment,0.12,0.51,0.0,0.23,0.86,76.0,46.0,7.9,14.0,Team 17,E,Europe,0.5930232558139535,0.0029676662410711204
Dynasty Warriors 4: Xtreme Legends,PS2,2003.0,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72.0,15.0,9.1,39.0,Omega Force,T,Japan,0.5930232558139535,0.0006972256903345061
Pictionary,Wii,2010.0,Puzzle,THQ,0.6,0.19,0.0,0.07,0.85,71.0,7.0,tbd,,Page 44 Studios,E,North-America,0.7058823529411765,0.000953192634624442
Army Men: Air Attack,PS,1999.0,Action,3DO,0.47,0.32,0.0,0.06,0.85,,,,,,,North-America,0.5529411764705883,0.0011685294400681872
FIFA Soccer 08,DS,2007.0,Sports,Electronic Arts,0.1,0.65,0.0,0.11,0.85,,,,,,,Europe,0.7647058823529412,0.001057569084145173
2010 FIFA World Cup South Africa,X360,2010.0,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,61.0,8.1,58.0,Electronic Arts,E,Europe,0.49411764705882355,0.0008841365106772485
Tomb Raider: Anniversary,Wii,2007.0,Action,Eidos Interactive,0.12,0.62,0.0,0.11,0.85,73.0,22.0,7.3,25.0,Crystal Dynamics,T,Europe,0.7294117647058823,0.000953192634624442
NBA 2K8,X360,2007.0,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85,81.0,33.0,7,28.0,Visual Concepts,E,North-America,0.9294117647058824,0.0008841365106772485
Street Fighter Alpha 2,PS,1996.0,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85,,,,,,,Japan,0.6705882352941176,0.0011685294400681872
Tiger Woods PGA Tour 2005,XB,2004.0,Sports,Electronic Arts,0.64,0.18,0.0,0.03,0.85,88.0,26.0,8.9,14.0,EA Sports,E,North-America,0.7529411764705882,0.003371811654567813
Castlevania III: Dracula's Curse,NES,1989.0,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,,,,,,,North-America,0.4705882352941177,0.0033855100171266976
LEGO Jurassic World,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.35,0.36,0.0,0.14,0.85,,,7.4,14.0,TT Games,E10+,Europe,0.4235294117647059,0.0009128497019814208
Kingdoms of Amalur: Reckoning,PS3,2012.0,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81.0,34.0,7.6,376.0,Big Huge Games,M,North-America,0.43529411764705883,0.0009128497019814208
Rampage World Tour,PS,1997.0,Action,GT Interactive,0.47,0.32,0.0,0.06,0.85,,,,,,,North-America,0.5529411764705883,0.0011685294400681872
Dragon Ball Z: Burst Limit,PS3,2008.0,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71.0,32.0,7.2,51.0,"Dimps Corporation, Namco Bandai Games",T,Europe,0.38823529411764707,0.0009128497019814208
Gold's Gym: Dance Workout,Wii,2010.0,Sports,Ubisoft,0.69,0.1,0.0,0.06,0.85,,,tbd,,Land Ho!,E10+,North-America,0.8117647058823529,0.000953192634624442
Tekken Tag Tournament 2,PS3,2012.0,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82.0,50.0,8.2,193.0,Namco Bandai Games,T,Europe,0.36470588235294116,0.0009128497019814208
Ninja Gaiden Sigma 2,PS3,2009.0,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83.0,52.0,7.7,115.0,Team Ninja,M,North-America,0.611764705882353,0.0009128497019814208
Ratatouille,PS2,2007.0,Action,THQ,0.31,0.0,0.0,0.53,0.85,65.0,9.0,8,11.0,Asobo Studio,E,Other,0.6235294117647059,0.0006891184148655003
NFL GameDay,PS,1995.0,Sports,Sony Computer Entertainment,0.47,0.32,0.0,0.06,0.85,,,,,,,North-America,0.5529411764705883,0.0011685294400681872
Burnout 2: Point of Impact,PS2,2002.0,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85,86.0,31.0,8.2,48.0,Criterion Games,E,North-America,0.49411764705882355,0.0006891184148655003
Wii Fit U,WiiU,2013.0,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72.0,19.0,7.7,72.0,Nintendo,E,North-America,0.4117647058823529,0.010345666991236612
Street Fighter EX3,PS2,2000.0,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64.0,17.0,7.9,31.0,Arika,T,North-America,0.3764705882352941,0.0006891184148655003
The Legendary Starfy,DS,2008.0,Platform,Nintendo,0.6,0.0,0.2,0.05,0.85,75.0,25.0,8.4,26.0,TOSE,E,North-America,0.7058823529411765,0.001057569084145173
NCAA Football 11,PS3,2010.0,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.85,85.0,22.0,7.4,25.0,EA Tiburon,E,North-America,0.9294117647058824,0.0009128497019814208
The House of the Dead: Overkill,Wii,2009.0,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78.0,65.0,8.7,95.0,Headstrong Games,M,North-America,0.5176470588235295,0.000953192634624442
Army of Two: The 40th Day,PS3,2010.0,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74.0,56.0,7,88.0,EA Montreal,M,North-America,0.5176470588235295,0.0009128497019814208
Darksiders II,PS3,2012.0,Action,THQ,0.35,0.35,0.01,0.14,0.84,84.0,39.0,7.1,422.0,Vigil Games,M,North-America,0.41666666666666663,0.0009021102937228158
Spider-Man 2,GC,2004.0,Action,Activision,0.65,0.17,0.0,0.02,0.84,80.0,41.0,8.8,30.0,Treyarch,T,North-America,0.7738095238095238,0.004260931317845187
 Tales of Xillia 2,PS3,2012.0,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71.0,59.0,7.9,216.0,Bandai Namco Games,T,Japan,0.5357142857142857,0.0009021102937228158
Ghostbusters: The Video Game,PS3,2009.0,Action,Sony Computer Entertainment,0.34,0.36,0.0,0.14,0.84,78.0,74.0,7.9,96.0,Terminal Reality,T,Europe,0.42857142857142855,0.0009021102937228158
The Incredibles,GC,2004.0,Action,THQ,0.65,0.17,0.0,0.02,0.84,63.0,27.0,7.1,7.0,Heavy Iron Studios,T,North-America,0.7738095238095238,0.004260931317845187
Xenoblade Chronicles X,WiiU,2015.0,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,87.0,8.9,1548.0,Monolith Soft,T,North-America,0.42857142857142855,0.010223953261927946
NBA 2K10,PS3,2009.0,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83.0,30.0,7.8,39.0,Visual Concepts,E,North-America,0.8928571428571429,0.0009021102937228158
Petz Dogz Fashion,DS,2008.0,Simulation,Ubisoft,0.46,0.3,0.0,0.09,0.84,,,tbd,,Ubisoft,E,North-America,0.5476190476190477,0.0010451270949199357
ATV Quad Power Racing 2,PS2,2003.0,Racing,Acclaim Entertainment,0.41,0.32,0.0,0.11,0.84,68.0,19.0,tbd,,Acclaim,E,North-America,0.4880952380952381,0.0006810111393964944
Final Fantasy,NES,1987.0,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84,,,,,,,Japan,0.6190476190476191,0.0033456804875134426
Skate 2,PS3,2009.0,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84.0,50.0,7.8,53.0,EA Black Box,T,North-America,0.5476190476190477,0.0009021102937228158
Rocket Power: Team Rocket Rescue,PS,2001.0,Sports,THQ,0.47,0.32,0.0,0.05,0.84,,,,,,,North-America,0.5595238095238095,0.0011547820348909144
Big Mutha Truckers,PS2,2002.0,Racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84,62.0,15.0,5.3,20.0,Eutechnyx,T,North-America,0.4880952380952381,0.0006810111393964944
The Evil Within,PS3,2014.0,Action,Bethesda Softworks,0.26,0.34,0.13,0.12,0.84,,,7.6,193.0,Tango Gameworks,M,Europe,0.4047619047619048,0.0009021102937228158
Rogue Galaxy,PS2,2005.0,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,83.0,59.0,8.4,89.0,Level 5,T,Japan,0.4642857142857143,0.0006810111393964944
ESPN College Hoops 2K5,PS2,2004.0,Sports,Sega,0.41,0.32,0.0,0.11,0.84,86.0,14.0,8.1,10.0,Visual Concepts,E,North-America,0.4880952380952381,0.0006810111393964944
NCAA Football 14,PS3,2013.0,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,9.0,6.2,40.0,EA Tiburon,E,North-America,0.8928571428571429,0.0009021102937228158
Harry Potter and the Order of the Phoenix,DS,2007.0,Action,Electronic Arts,0.28,0.46,0.0,0.1,0.84,51.0,15.0,4.9,19.0,Visual Impact,E,Europe,0.5476190476190477,0.0010451270949199357
Sniper Elite V2,X360,2012.0,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67.0,37.0,6.8,131.0,Rebellion,M,North-America,0.5476190476190477,0.0008737349046692809
Metroid: Zero Mission,GBA,2004.0,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,89.0,50.0,9,132.0,Nintendo,E,North-America,0.7142857142857143,0.002748511223087494
Ben 10: Protector of Earth,PS2,2007.0,Action,D3Publisher,0.09,0.0,0.0,0.74,0.84,,,7.6,14.0,High Voltage Software,E10+,Other,0.8809523809523809,0.0006810111393964944
Burnout Legends,PSP,2005.0,Racing,Electronic Arts,0.7,0.05,0.0,0.08,0.84,86.0,53.0,8.4,108.0,Criterion Games,E10+,North-America,0.8333333333333333,0.002898650747092722
Q*bert,PS,1999.0,Puzzle,Atari,0.46,0.32,0.0,0.05,0.84,,,,,,,North-America,0.5476190476190477,0.0011547820348909144
Blazing Angels: Squadrons of WWII,Wii,2007.0,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.83,57.0,11.0,6.7,28.0,Ubisoft,T,North-America,0.891566265060241,0.0009307645726332787
Madden NFL 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.76,0.01,0.0,0.06,0.83,82.0,19.0,7.2,22.0,EA Tiburon,E,North-America,0.9156626506024097,0.0009307645726332787
Ace Combat 3: Electrosphere,PS,1999.0,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,,,,,,,Japan,0.48192771084337355,0.0011410346297136414
Dynasty Warriors 2,PS2,2000.0,Action,THQ,0.24,0.19,0.34,0.06,0.83,75.0,17.0,8.8,24.0,Omega Force,T,Japan,0.4096385542168675,0.0006729038639274884
Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,52.0,7.4,21.0,Nex Entertainment,T,North-America,0.3855421686746988,0.0008913708854642109
Duke Nukem Forever,X360,2011.0,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.83,49.0,76.0,4.4,456.0,"Gearbox Software, 3D Realms",M,North-America,0.6265060240963856,0.0008633332986613133
Lizzie McGuire 2: Lizzie Diaries,GBA,2004.0,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,57.0,6.0,5,5.0,Artificial Mind and Movement,E,North-America,0.7228915662650602,0.0027157908513840714
FIFA Soccer World Championship,PS2,2000.0,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83,,,,,,,Japan,0.3373493975903615,0.0006729038639274884
NCAA Football 12,PS3,2011.0,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83,82.0,17.0,5.8,41.0,EA Sports,E,North-America,0.9397590361445783,0.0008913708854642109
Brute Force,XB,2003.0,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,77.0,45.0,7.8,49.0,Digital Anvil,M,North-America,0.746987951807229,0.0032924749097544524
Tiger Woods PGA Tour 11,PS3,2010.0,Sports,Electronic Arts,0.37,0.33,0.0,0.13,0.83,78.0,40.0,6.7,17.0,EA Sports,E,North-America,0.4457831325301205,0.0008913708854642109
Yu-Gi-Oh! Dark Duel Stories,GB,2000.0,Misc,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83,,,,,,,Japan,1.0,0.0032623221444854963
WWE SmackDown vs. Raw 2009,Wii,2008.0,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,79.0,18.0,8.5,18.0,Yuke's,T,North-America,0.5301204819277109,0.0009307645726332787
The Game of Life,PS,1998.0,Misc,Unknown,0.46,0.31,0.0,0.05,0.83,,,,,,,North-America,0.5542168674698795,0.0011410346297136414
Mega Man Legends,PS,1997.0,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83,,,,,,,North-America,0.46987951807228917,0.0011410346297136414
Sly 3: Honor Among Thieves,PS2,2005.0,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83,83.0,59.0,8.8,130.0,Sucker Punch,E10+,North-America,0.8313253012048193,0.0006729038639274884
Need for Speed: Nitro,Wii,2009.0,Racing,Electronic Arts,0.45,0.3,0.0,0.08,0.83,69.0,41.0,7.4,38.0,EA Montreal,E10+,North-America,0.5421686746987953,0.0009307645726332787
Street Fighter X Tekken,PS3,2012.0,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84.0,51.0,5.3,191.0,Capcom,T,North-America,0.5060240963855421,0.0008913708854642109
MediEvil,PS,1998.0,Platform,Sony Computer Entertainment,0.46,0.31,0.0,0.05,0.83,,,,,,,North-America,0.5542168674698795,0.0011410346297136414
Casper,PS,1996.0,Adventure,Interplay,0.46,0.31,0.0,0.05,0.83,,,,,,,North-America,0.5542168674698795,0.0011410346297136414
Sid Meier's Civilization Revolution,X360,2008.0,Strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83,84.0,55.0,7.8,171.0,Firaxis Games,E10+,North-America,0.6987951807228916,0.0008633332986613133
Tales of the Abyss,3DS,2011.0,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06,0.83,75.0,33.0,7.6,197.0,Bandai Namco Games,T,North-America,0.5180722891566265,0.003218052109181141
Dragon Age II,PS3,2011.0,Action,Electronic Arts,0.4,0.26,0.05,0.11,0.83,82.0,52.0,4.3,1197.0,BioWare,M,North-America,0.48192771084337355,0.0008913708854642109
Call of Duty: Modern Warfare 3,Wii,2011.0,Shooter,Activision,0.55,0.2,0.0,0.08,0.82,70.0,16.0,1.8,442.0,"Treyarch, Sledgehammer Games",M,North-America,0.6707317073170732,0.000919550541637697
God of War Saga,PS3,2012.0,Action,Sony Computer Entertainment,0.73,0.0,0.0,0.1,0.82,,,8.3,52.0,"Ready at Dawn, SCE Santa Monica",M,North-America,0.8902439024390244,0.000880631477205606
Scooby-Doo! First Frights,DS,2009.0,Action,Warner Bros. Interactive Entertainment,0.6,0.16,0.0,0.07,0.82,,,,,,,North-America,0.7317073170731707,0.0010202431164694611
James Bond 007: Nightfire,XB,2002.0,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82,78.0,30.0,7.8,25.0,Eurocom Entertainment Software,T,North-America,0.7073170731707317,0.003252806537347772
Tony Hawk's Pro Skater 3,GC,2001.0,Sports,Activision,0.64,0.17,0.0,0.02,0.82,91.0,27.0,9,27.0,Neversoft Entertainment,T,North-America,0.7804878048780488,0.004159480572182205
Marvel: Ultimate Alliance,PS2,2006.0,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82,81.0,29.0,8.2,33.0,Raven Software,T,North-America,0.8414634146341463,0.0006647965884584826
DJ Hero 2,X360,2010.0,Misc,Activision,0.64,0.12,0.0,0.06,0.82,86.0,66.0,7.9,23.0,FreeStyleGames,T,North-America,0.7804878048780488,0.0008529316926533456
Harvest Moon: Tree of Tranquility,Wii,2007.0,Simulation,Rising Star Games,0.67,0.03,0.06,0.05,0.82,65.0,18.0,8.2,28.0,Marvelous Entertainment,E,North-America,0.8170731707317074,0.000919550541637697
Tony Hawk's Underground 2 Remix,PSP,2005.0,Sports,Activision,0.46,0.21,0.0,0.15,0.82,83.0,49.0,8,34.0,Shaba Games,T,North-America,0.5609756097560976,0.002829635253114324
Need for Speed: Hot Pursuit 2,XB,2002.0,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82,75.0,18.0,6.4,15.0,EA Seattle,E,North-America,0.8292682926829269,0.003252806537347772
Killer Instinct Gold,N64,1996.0,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82,,,,,,,North-America,0.7439024390243902,0.0037578479446404834
Clu Clu Land,NES,1984.0,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,,,,,,,North-America,0.5121951219512195,0.003266021428286932
Karaoke Revolution Glee,Wii,2010.0,Misc,Konami Digital Entertainment,0.51,0.24,0.0,0.07,0.82,,,tbd,,Konami,T,North-America,0.6219512195121951,0.000919550541637697
I Spy: Fun House,DS,2007.0,Puzzle,Scholastic Inc.,0.76,0.0,0.0,0.06,0.82,53.0,6.0,tbd,,Big Blue Bubble Inc.,E,North-America,0.926829268292683,0.0010202431164694611
Amped: Freestyle Snowboarding,XB,2001.0,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78.0,30.0,9,20.0,Indie Built,E,North-America,0.8414634146341463,0.003252806537347772
The Price is Right,Wii,2008.0,Misc,Ubisoft,0.76,0.0,0.0,0.06,0.82,,,4.3,9.0,Ludia Inc.,E,North-America,0.926829268292683,0.000919550541637697
Custer's Revenge,2600,1981.0,Action,Mystique,0.76,0.05,0.0,0.01,0.82,,,,,,,North-America,0.926829268292683,0.009472103500057756
Stranglehold,X360,2007.0,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82,77.0,59.0,7.6,91.0,Midway,M,North-America,0.48780487804878053,0.0008529316926533456
Rocket Power: Beach Bandits,PS2,2002.0,Platform,THQ,0.4,0.31,0.0,0.1,0.82,,,6.6,13.0,Evolution Games,E,North-America,0.48780487804878053,0.0006647965884584826
Shin Megami Tensei: Persona 4,PS2,2008.0,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,90.0,47.0,8.9,634.0,Atlus Co.,M,Japan,0.43902439024390244,0.0006647965884584826
Devil May Cry HD Collection,PS3,2012.0,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74.0,27.0,8.8,158.0,"Capcom, Pipeworks Software, Inc.",M,North-America,0.5121951219512195,0.000880631477205606
Thief (2014),PS4,2014.0,Action,Square Enix,0.28,0.38,0.03,0.13,0.82,,,,,,,Europe,0.4634146341463415,0.0026095535117589023
Dragon Warrior III,GB,2000.0,Role-Playing,Enix Corporation,0.0,0.0,0.81,0.0,0.81,,,,,,,Japan,1.0,0.0031837119723292194
Ready 2 Rumble Boxing: Round 2,PS2,2000.0,Fighting,Midway Games,0.4,0.31,0.0,0.1,0.81,75.0,20.0,tbd,,Midway,T,North-America,0.49382716049382713,0.0006566893129894768
Dance Central 3,X360,2012.0,Misc,Microsoft Game Studios,0.57,0.18,0.0,0.06,0.81,86.0,43.0,8,45.0,Harmonix Music Systems,T,North-America,0.7037037037037036,0.0008425300866453781
Kamaitachi no Yoru,SNES,1994.0,Adventure,ChunSoft,0.0,0.0,0.81,0.0,0.81,,,,,,,Japan,1.0,0.004048987753061735
Imagine: Rock Star,DS,2008.0,Simulation,Ubisoft,0.4,0.33,0.0,0.09,0.81,,,tbd,,Gevo Entertainment,E,North-America,0.49382716049382713,0.0010078011272442238
Tales of Destiny II,PS,2000.0,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78.0,9.0,8.7,31.0,Namco,T,Japan,0.8148148148148148,0.0011135398193590962
Super Bomberman 2,SNES,1994.0,Puzzle,Hudson Soft,0.0,0.0,0.81,0.0,0.81,,,,,,,Japan,1.0,0.004048987753061735
NASCAR 2001,PS,2000.0,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81,73.0,8.0,6.1,9.0,Black Box,E,North-America,0.5555555555555556,0.0011135398193590962
Twisted Metal (2012),PS3,2012.0,Action,Sony Computer Entertainment,0.67,0.07,0.0,0.08,0.81,,,,,,,North-America,0.8271604938271605,0.0008698920689470011
The Legend of Zelda: Four Swords Adventures,GC,2004.0,Action,Nintendo,0.63,0.16,0.0,0.02,0.81,86.0,55.0,7.2,74.0,Nintendo,E,North-America,0.7777777777777777,0.004108755199350716
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.76,0.05,0.81,,,,,,,Japan,0.9382716049382716,0.0011135398193590962
MediEvil: Resurrection,PSP,2005.0,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.81,66.0,43.0,8.7,52.0,SCEE,T,Europe,0.5061728395061728,0.002795127506125125
Valkyrie Profile,PS,1999.0,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,81.0,8.0,8.8,37.0,Tri-Ace,T,Japan,0.7777777777777777,0.0011135398193590962
Patapon,PSP,2007.0,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.16,0.81,86.0,60.0,8.7,102.0,SCE Japan Studio,E,North-America,0.4074074074074074,0.002795127506125125
Final Fantasy Type-0,PSP,2011.0,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81,,,,,Square Enix,,Japan,1.0,0.002795127506125125
Mega Man,NES,1987.0,Platform,Capcom,0.45,0.08,0.27,0.01,0.81,,,,,,,North-America,0.5555555555555556,0.003226191898673677
Army Men: Sarge's Heroes,N64,1999.0,Action,3DO,0.68,0.12,0.0,0.01,0.81,,,,,,,North-America,0.8395061728395061,0.0037120205306814535
Pro Evolution Soccer 2010,X360,2009.0,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81,78.0,34.0,7.6,29.0,Konami,E,Europe,0.7160493827160492,0.0008425300866453781
Tom Clancy's Rainbow Six 3,PS2,2004.0,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81,70.0,34.0,8.2,17.0,Ubisoft Shanghai,M,North-America,0.49382716049382713,0.0006566893129894768
Madden NFL 25,XOne,2013.0,Sports,Electronic Arts,0.67,0.05,0.0,0.08,0.81,73.0,18.0,5.9,111.0,EA Sports,E,North-America,0.8271604938271605,0.005080280983442048
NCAA Football 10,PS3,2009.0,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.81,80.0,20.0,6.9,14.0,EA Tiburon,E,North-America,0.9259259259259258,0.0008698920689470011
EarthBound,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,0.81,0.0,0.81,,,,,,,Japan,1.0,0.004048987753061735
The Next Tetris,PS,1998.0,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81,,,,,,,North-America,0.5555555555555556,0.0011135398193590962
Guitar Hero: Warriors of Rock,PS3,2010.0,Misc,Activision,0.33,0.34,0.0,0.13,0.81,74.0,46.0,7.1,30.0,Neversoft Entertainment,T,Europe,0.41975308641975306,0.0008698920689470011
Battle of Giants: Dinosaurs,DS,2008.0,Strategy,Ubisoft,0.37,0.35,0.0,0.09,0.81,,,7.2,9.0,Ubisoft Quebec,E,North-America,0.4567901234567901,0.0010078011272442238
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81,,,,,,,Japan,0.9259259259259258,0.0011135398193590962
Final Fantasy XI: Wings of the Goddess,PS2,2007.0,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81,,,tbd,,Square Enix,T,North-America,0.4320987654320987,0.0006566893129894768
The Sims 2,PS2,2005.0,Simulation,Electronic Arts,0.67,0.03,0.0,0.11,0.81,75.0,31.0,4.4,166.0,Maxis,T,North-America,0.8271604938271605,0.0006566893129894768
Dragon Ball: Raging Blast 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.18,0.11,0.09,0.81,60.0,27.0,7.5,63.0,Spike,T,North-America,0.5185185185185185,0.0008698920689470011
SingStar Vol. 2,PS3,2008.0,Misc,Sony Computer Entertainment,0.29,0.39,0.0,0.12,0.81,76.0,36.0,tbd,,SCEE London Studio,T,Europe,0.48148148148148145,0.0008698920689470011
Who wants to be a millionaire,PS,2000.0,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8,,,,,,,North-America,0.5625,0.0010997924141818232
Yakuza,PS2,2005.0,Action,Sega,0.03,0.02,0.74,0.01,0.8,75.0,58.0,8.2,73.0,Amusement Vision,M,Japan,0.9249999999999999,0.0006485820375204709
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006.0,Action,Disney Interactive Studios,0.72,0.03,0.0,0.06,0.8,,,7,4.0,Gorilla Systems,E,North-America,0.8999999999999999,0.0009953591380189866
Star Wars Rogue Squadron III: Rebel Strike,GC,2003.0,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8,75.0,36.0,7.6,50.0,Factor 5,T,North-America,0.7749999999999999,0.004058029826519226
Moto Racer,PS,1997.0,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8,,,,,,,North-America,0.5625,0.0010997924141818232
Hitman: Contracts,PS2,2004.0,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8,80.0,39.0,8.3,43.0,Io Interactive,M,North-America,0.4875,0.0006485820375204709
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012.0,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.8,79.0,69.0,8.5,99.0,Level 5,T,Japan,0.37499999999999994,0.0031017369727047144
Ben 10: Alien Force,Wii,2008.0,Action,Koch Media,0.52,0.21,0.0,0.07,0.8,45.0,6.0,7.8,11.0,Monkey Bar Games,E10+,North-America,0.65,0.0008971224796465337
Final Fantasy Anthology,PS,1999.0,Role-Playing,Square EA,0.45,0.3,0.0,0.05,0.8,80.0,14.0,8.1,28.0,SquareSoft,T,North-America,0.5625,0.0010997924141818232
DiRT 2,X360,2009.0,Racing,Codemasters,0.32,0.39,0.0,0.09,0.8,87.0,65.0,8.2,110.0,Codemasters,T,Europe,0.4875,0.0008321284806374105
Prince of Persia: Warrior Within,XB,2004.0,Action,Ubisoft,0.48,0.28,0.0,0.04,0.8,83.0,55.0,7.5,35.0,Ubisoft Montreal,M,North-America,0.6,0.0031734697925344126
